Gemeente,Provincie,Stemmen op coalitie,Stemmen op PVV,Inwoners,Benzine,Diesel,Alles elektrisch,Aardgas,Alcohol,Elektriciteit,Hybride,Hybride met stekker,LNG,LPG,Waterstof,Bevolkingsdichtheid,Huishoudgrootte,Koopwoningen,Huurwoningen,Huurwoningen corporatie,Huurwoningen overig,WOZ,Gemeentenaam Allecijfers,Regio's,predicted_electric
Aa en Hunze,Drenthe,0.61,0.19,25724,64%,24%,10.34,0%,0%,"3,10%","6,80%","0,44%",0%,"1,35%",0%,94,"2,22",75.3,"24,7","19,3","5,4",349,Gemeente Aa en Hunze,Aa en Hunze,9.336893472591612
Aalsmeer,Noord-Holland,0.66,0.25,33063,69%,15%,14.05,0%,0%,"4,72%","8,60%","0,73%","0,14%","1,13%",0%,1656,"2,28",64.0,36,"24,3","11,7",491,Gemeente Aalsmeer,Aalsmeer,14.243534678981842
Aalten,Gelderland,0.65,0.2,27244,75%,17%,7.01,0%,0%,"2,19%","4,47%","0,35%",0%,"1,22%",0%,283,"2,28",71.8,"28,1","18,9","9,2",331,Gemeente Aalten,Aalten,8.780300474947058
Achtkarspelen,Fryslï¿½n,0.66,0.34,28149,64%,30%,4.74,0%,0%,"1,60%","2,84%","0,30%",0%,"1,47%",0%,276,"2,31",63.7,"36,3","30,2","6,1",271,Gemeente Achtkarspelen,Achtkarspelen,8.906324762166271
Alblasserdam,Zuid-Holland,0.51,0.25,20356,68%,19%,12.15,0%,0%,"3,40%","8,30%","0,45%",0%,"1,04%",0%,2316,"2,37",61.8,"38,1","32,7","5,4",343,Gemeente Alblasserdam,Alblasserdam,13.647754775030817
Albrandswaard,Zuid-Holland,0.65,0.3,26357,69%,12%,17.57,0%,0%,"4,81%",12%,"0,76%",0%,"0,87%",0%,1220,"2,42",69.9,"30,1",25,"5,1",447,Gemeente Albrandswaard,Albrandswaard,13.312102208287824
Alkmaar,Noord-Holland,0.51,0.21,111834,64%,17%,18.3,"0,05%",0%,"6,70%",11%,"0,60%",0%,"0,95%",0%,1018,"2,05",58.3,"41,6","28,1","13,5",359,Gemeente Alkmaar,Alkmaar,12.437028988922378
Almelo,Overijssel,0.69,0.3,73949,71%,17%,10.38,0%,0%,"2,68%","7,20%","0,50%",0%,"1,14%",0%,1106,"2,16",54.7,"45,3","33,5","11,8",284,Gemeente Almelo,Almelo,9.446981660317341
Almere,Flevoland,0.57,0.27,222825,51%,14%,34.47,"0,10%",0%,19%,15%,"0,47%",0%,"0,71%",0%,1753,"2,31",62.5,"37,5","26,6","10,9",375,Gemeente Almere,Almere,13.19282793368486
Alphen aan den Rijn,Zuid-Holland,0.58,0.23,114182,69%,16%,13.64,0%,0%,"3,99%","8,90%","0,75%",0%,"0,93%",0%,913,"2,24",63.4,"36,6","25,4","11,2",374,Gemeente Alphen aan den Rijn,Alphen aan den Rijn,11.800249776281934
Alphen-Chaam,Noord-Brabant,0.71,0.24,10463,70%,20%,8.53,0%,0%,"2,69%","5,50%","0,34%",0%,"1,21%",0%,112,"2,35",75.4,"24,5","12,9","11,6",458,Gemeente Alphen-Chaam,Alphen-Chaam,10.940736719499734
Altena,Noord-Brabant,0.59,0.29,57726,66%,24%,9.52,0%,0%,"2,85%","6,20%","0,47%",0%,"0,83%",0%,292,"2,4",68.9,"31,1","23,9","7,2",396,Gemeente Altena,Altena,12.000107879980426
Ameland,Fryslï¿½n,0.65,0.19,3840,70%,24%,5.78,0%,0%,"1,54%","4,24%",0%,0%,0%,0%,68,"2,02",67.2,"32,7",0,"32,7",348,Gemeente Ameland,Ameland,8.972022379513023
Amersfoort,Utrecht,0.44,0.16,160759,52%,16%,31.34,"0,19%",0%,17%,14%,"0,34%",0%,"0,57%",0%,2590,"2,19",57.9,42,29,13,420,Gemeente Amersfoort,Amersfoort,15.770468011662377
Amstelveen,Noord-Holland,0.51,0.15,94418,67%,10%,21.58,0%,0%,"7,40%",13%,"1,18%",0%,"0,56%",0%,2311,"2,07",47.2,"52,7","29,1","23,6",536,Gemeente Amstelveen,Amstelveen,17.33226722739014
Amsterdam,Noord-Holland,0.29,0.1,918117,63%,15%,20.78,"0,05%",0%,"7,80%",12%,"0,98%",0%,"1,05%",0%,4950,"1,78",29.9,70,"39,6","30,4",499,Gemeente Amsterdam,Amsterdam,21.967587126660316
Apeldoorn,Gelderland,0.57,0.22,167191,70%,17%,11.87,0%,0%,"3,50%","7,70%","0,67%",0%,"1,16%",0%,495,"2,14",60.1,"39,9","27,7","12,2",382,Gemeente Apeldoorn,Apeldoorn,11.692768686562424
Arnhem,Gelderland,0.43,0.19,165770,72%,14%,12.16,"0,23%",0%,"4,06%","7,50%","0,60%","0,02%","1,19%",0%,1715,"1,92",42.9,"57,1","34,4","22,7",336,Gemeente Arnhem,Arnhem,13.878067456001078
